Country,Year,Emissions,GDP_per_capita,Renewable_Share,Energy_per_capita,Population,Emissions_per_GDP,Emissions_per_capita,Global_Temperature
Indonesia,2001,586.90539722919,4309.204,4.1125903,5740.15,219097902.0,0.43271583235945,2.7360664097955,0.5325
Indonesia,2002,595.47049648977,4508.776,3.6303015,5816.885,222088495.0,0.42012722027768,2.7376946898472,0.6267
Indonesia,2003,626.44279303966,4749.843,3.1624913,6226.767,225048008.0,0.42181504446833,2.8404307192766,0.6167
Indonesia,2004,640.79131337395,5050.913,3.3661623,6089.4717,227926649.0,0.41080931693139,2.8656007574356,0.5325
Indonesia,2005,649.49933171184,5428.429,3.4541986,6188.735,230871650.0,0.39396524775352,2.8648526185611,0.675
Indonesia,2006,683.98519794957,5820.651,3.1702235,6213.2007,233951652.0,0.39325072398543,2.9759447869785,0.6375
Indonesia,2007,709.12087350592,6268.284,3.31408,6581.411,237062337.0,0.38337689045426,3.0435809137166,0.6608
Indonesia,2008,712.7127993248,6767.976,3.5247178,6571.2695,240157903.0,0.3634613308556,3.0179362180768,0.5433
Indonesia,2009,744.3072076399,7029.645,3.6053057,6665.187,243220028.0,0.36278083747197,3.1098320700255,0.655
Indonesia,2010,781.99026960549,7462.433,4.3475184,7123.851,246305322.0,0.35881567610136,3.2243830285064,0.7233
Indonesia,2011,880.62351485244,7940.979,3.431125,7431.6963,249470032.0,0.38059177870385,3.5840245936332,0.6058
Indonesia,2012,899.99443402278,8456.574,3.5263355,7576.4053,252698525.0,0.36684278289031,3.6161346255983,0.6433
Indonesia,2013,864.85303026412,8954.663,4.4679456,7145.6704,255852467.0,0.33395991630842,3.4315207206391,0.6733
Indonesia,2014,907.28361907835,9439.798,4.608102,7179.4966,258877399.0,0.33364008425197,3.5561480928556,0.7458
Indonesia,2015,907.31526363061,9873.843,3.9044187,7202.4644,261799249.0,0.31813827349061,3.5145190370024,0.8975
